Time_Index,onwind,solar
157,0.641582478,0.136770191
158,0.6273556,0.137903918
159,0.622871465,0.098205052
160,0.648372328,0.103126126
161,0.609131401,0.014655054
162,0.561617983,0
163,0.452222721,0
164,0.378982663,0
165,0.358191062,0
166,0.299136006,0
167,0.42109427,0
168,0.448970186,0
169,0.411805082,0
170,0.432296002,0
171,0.42235861,0
172,0.410060175,0
173,0.371486528,0
174,0.305214563,0
175,0.243615983,0
176,0.193907669,0.019766309
177,0.145175568,0.182961323
178,0.089025173,0.377672945
179,0.065133374,0.334642844
180,0.102857624,0.313566673
181,0.070764253,0.291020352
182,0.090504422,0.298892459
183,0.183080069,0.226144576
184,0.157508163,0.084968006
185,0.300252299,0.007404784
186,0.435135591,0
187,0.625485457,0
188,0.600862053,0
189,0.696158288,0
190,0.743187104,0
191,0.771471793,0
192,0.786268354,0
193,0.787703512,0
194,0.796226995,0
195,0.799959688,0
196,0.801583526,0
197,0.803607791,0
198,0.804684743,0
199,0.805373605,0
200,0.805774625,0.042893047
201,0.805775587,0.418617557
202,0.805500199,0.664064993
203,0.805559371,0.621116572
204,0.805628353,0.559871108
205,0.805619901,0.55579857
206,0.805839055,0.617150812
207,0.805886671,0.67358036
208,0.805057032,0.472257149
209,0.805754989,0.071311853
210,0.805886671,0
211,0.805858147,0
212,0.805836421,0
213,0.805698395,0
214,0.805847553,0
215,0.805333616,0
216,0.805282848,0
217,0.79858885,0
218,0.790482869,0
219,0.793485896,0
220,0.802905838,0
221,0.805003296,0
222,0.796331977,0
223,0.788347843,0
224,0.740125087,0.052415965
225,0.764670822,0.459376691
226,0.742522893,0.699594682
227,0.743345344,0.63870284
228,0.759081306,0.549257202
229,0.751360702,0.492929361
230,0.736037666,0.562161679
231,0.75563854,0.596558347
232,0.738885388,0.420091363
233,0.751039642,0.062551829
234,0.778028475,0
235,0.775421433,0
236,0.747422389,0
237,0.690074975,0
238,0.591552651,0
239,0.509716016,0
240,0.502718018,0
241,0.484473193,0
242,0.482817678,0
243,0.474642654,0
244,0.476060646,0
245,0.451259044,0
246,0.434927867,0
247,0.406900711,0
248,0.359877303,0.014446099
249,0.333307091,0.198766121
250,0.204649966,0.510879024
251,0.127703114,0.336362094
252,0.08145451,0.318900192
253,0.046047672,0.388085439
254,0.013640191,0.326219597
255,0.002255114,0.351336373
256,0.001876063,0.305319242
257,0.01223377,0.047267156
258,0.052025565,0
259,0.125036166,0
260,0.22962629,0
261,0.346714924,0
262,0.475717176,0
263,0.636243222,0
264,0.663844202,0
265,0.738183996,0
266,0.776719399,0
267,0.788640804,0
268,0.784297191,0
269,0.787033356,0
270,0.766636401,0
271,0.738296063,0
272,0.788078018,0.039694913
273,0.801904119,0.381935525
